Kata,Perbaikan
yg,yang
tpi,tapi
gk,gak
bet,banget
sdh,sudah
lh,lah
dgn,dengan
udh,udah
klo,kalau
tdk,tidak
pdhl,padahal
skrg,sekarang
jd,jadi
lgi,lagi
sm,sama
tp ,tapi
ttp,tetap
blm,belum
sm,sama
gmn,gimana
sblm,sebelum
kek,kayak
kalo,kalau
trs,terus
bgt,banget
jgn,jangan
cm,cuma
utk,untuk
trus,terus
karna,karena
kyk,kayak
smpe,sampai
knp,kenapa
cmn,cuma
dr,dari
jg,juga
lg ,lagi
sablonan,sablon
lgsg,langsung
gjls,gak jelas
bnr,benar
ato,atau
bngt,banget
jdi,jadi
sampe,sampai
gpp,gapapa
maap,maaf
w,aku
dlu,dulu
sii,sih
cma,cuma
brg,barang
uk,ukuran
sz,size
sm,sama
hrg,harga
sprti,seperti
pd,pada
sgt,sangat
blg,bilang
mlh,malah
lwt,lewat
prnh,pernah
tlg,tolong
gmna,gimana
bener,benar
tgl,tanggal
bls,balas
krng,kurang
br,baru
sy,saya
tsb,tersebut
kt,kata
mw,mau
msh,masih
dtg,datang
stlh,setelah
jls,jelas
sma,sama
pgn,pengen
pdl,peduli
byk,banyak
tw,tau
gtu,gitu
gt,gitu
mksh,terimakasih
emg,emang
klw,kalau
nnti,nanti
mmg,memang
bbrp,beberapa
wrna,warna
lbh,lebih
g,ga
ak,aku
gnti,ganti
blng,bilang
krg,kurang